"Keyword"	"Competition"	"Global"	"Local"
"food vending"	0.59	22200	18100
"new food truck"	0.23	18100	18100
"food trucks in dc"	0.06	18100	18100
"dc food trucks"	0.06	18100	18100
"food trucks dc"	0.06	18100	18100
"catering truck for sale"	0.95	18100	14800
"catering trucks for sale"	0.95	18100	14800
"pizza truck"	0.12	18100	14800
"new food trucks"	0.25	14800	14800
"food truck in nyc"	0.16	14800	14800
"nyc food truck"	0.16	14800	14800
"truck food nyc"	0.16	14800	14800
"food truck nyc"	0.16	14800	14800
"nyc truck food"	0.16	14800	14800
"food truck ny"	0.18	14800	14800
"ny food truck"	0.18	14800	14800
"food van"	0.37	40500	12100
"breakfast catering"	0.66	22200	12100
"food concession trailers"	0.81	18100	12100
"lunch truck for sale"	0.95	14800	12100
"concession trailers for sale"	0.92	14800	12100
"lunch trucks for sale"	0.95	14800	12100
"food truck new york"	0.2	14800	12100
"new york food truck"	0.2	14800	12100
"food truck los angeles"	0.31	14800	12100
"los angeles food truck"	0.31	14800	12100
"ny food trucks"	0.17	12100	12100
"food trucks in ny"	0.17	12100	12100
"food trucks ny"	0.17	12100	12100
"new york food trucks"	0.19	12100	12100
"food trucks new york"	0.19	12100	12100
"food truck fiesta"	0.01	12100	12100
"fiesta food truck"	0.01	12100	12100
"nyc food trucks"	0.15	12100	12100
"food trucks nyc"	0.15	12100	12100
"food trucks in nyc"	0.15	12100	12100
"food trucks los angeles"	0.29	12100	12100
"food trucks in los angeles"	0.29	12100	12100
"los angeles food trucks"	0.29	12100	12100
"catering trailer"	0.8	33100	9900
"catering trailers"	0.81	27100	9900
"coffee carts"	0.84	22200	9900
"truck finder"	0.52	18100	9900
"portable kitchen"	1	14800	9900
"vending trucks"	1	12100	9900
"catering food trucks for sale"	0.94	12100	9900
"food catering trucks for sale"	0.94	12100	9900
"miami food truck"	0.28	12100	9900
"food truck miami"	0.28	12100	9900
"food truck in miami"	0.28	12100	9900
"food trucks festival"	0.02	9900	9900
"boston food truck"	0.1	9900	9900
"food truck boston"	0.1	9900	9900
"boston food truck"	0.57	9900	9900
"food trucks miami"	0.28	9900	9900
"miami food trucks"	0.28	9900	9900
"food trucks in miami"	0.28	9900	9900
"food truck fest"	0.08	9900	9900
"mobile catering"	0.68	33100	8100
"vending carts"	1	12100	8100
"mobile food truck"	0.75	12100	8100
"food mobile truck"	0.75	12100	8100
"food truck competition"	0.04	9900	8100
"mobile food trucks"	0.85	9900	8100
"best la food trucks"	0.15	9900	8100
"best food trucks in la"	0.15	9900	8100
"best food trucks"	0.15	9900	8100
"ice cream truck for sale"	0.87	9900	8100
"portland food trucks"	0.14	9900	8100
"food trucks portland or"	0.14	9900	8100
"food trucks portland"	0.14	9900	8100
"vending truck"	0.92	9900	8100
"food truck san francisco"	0.12	8100	8100
"san francisco food truck"	0.12	8100	8100
"food truck chicago"	0.17	8100	8100
"chicago food truck"	0.17	8100	8100
"food truck atlanta"	0.17	8100	8100
"atlanta food truck"	0.17	8100	8100
"coffee truck"	0.47	9900	6600
"food truck business"	0.68	8100	6600
"hot dog carts for sale"	1	8100	6600
"used food trucks"	0.95	8100	6600
"food trucks used"	0.95	8100	6600
"top food trucks"	0.15	8100	6600
"top la food trucks"	0.15	8100	6600
"concession truck"	0.95	8100	6600
"food truck used"	0.93	8100	6600
"used food truck"	0.93	8100	6600
"san francisco food trucks"	0.11	8100	6600
"food trucks san francisco"	0.11	8100	6600
"food trucks in san francisco"	0.11	8100	6600
"boston food trucks"	0.1	6600	6600
"food trucks boston"	0.1	6600	6600
"food trucks in boston"	0.1	6600	6600
"how to start food truck"	0.42	6600	6600
"how to start a food truck"	0.42	6600	6600
"start food truck"	0.42	6600	6600
"start a food truck"	0.42	6600	6600
"food trucks chicago"	0.16	6600	6600
"chicago food trucks"	0.16	6600	6600
"food trucks in chicago"	0.16	6600	6600
"san diego food truck"	0.22	6600	6600
"food truck san diego"	0.22	6600	6600
"food trucks in atlanta"	0.19	6600	6600
"atlanta food trucks"	0.19	6600	6600
"food trucks atlanta"	0.19	6600	6600
"mobile kitchens"	0.86	8100	5400
"concession trucks"	1	6600	5400
"gourmet food truck"	0.35	6600	5400
"food truck menu"	0.07	6600	5400
"catering truck business"	0.72	6600	5400
"food truck dallas"	0.14	5400	5400
"dallas food truck"	0.14	5400	5400
"food truck orange county"	0.18	5400	5400
"orange county food truck"	0.18	5400	5400
"food truck catering los angeles"	0.33	5400	5400
"ice cream trucks for sale"	0.88	5400	5400
"food truck schedule"	0.07	5400	5400
"la food truck map"	0.06	5400	5400
"food truck map"	0.06	5400	5400
"food truck map la"	0.06	5400	5400
"food trucks san diego"	0.23	5400	5400
"san diego food trucks"	0.23	5400	5400
"food trucks in san diego"	0.23	5400	5400
"food truck houston"	0.23	5400	5400
"houston food truck"	0.23	5400	5400
"seattle food truck"	0.17	5400	5400
"food truck seattle"	0.17	5400	5400
"food trucks in orange county"	0.18	5400	5400
"food trucks orange county"	0.18	5400	5400
"orange county food trucks"	0.18	5400	5400
"food truck friday"	0.03	5400	5400
"roach coach"	0.25	6600	4400
"food carts for sale"	1	6600	4400
"foodtruck"	0.23	6600	4400
"foodtrucks"	0.27	5400	4400
"la foodtrucks"	0.27	5400	4400
"food truck vendors"	0.85	5400	4400
"mexican food catering"	0.73	5400	4400
"la gourmet food trucks"	0.41	5400	4400
"gourmet food trucks"	0.41	5400	4400
"lunch truck business"	0.75	5400	4400
"food truck race season 2"	0.02	5400	4400
"used food trucks for sale"	0.95	5400	4400
"used food truck for sale"	0.94	4400	4400
"used food truck sale"	0.94	4400	4400
"food truck maps"	0.05	4400	4400
"starting a food truck"	0.43	4400	4400
"food truck austin"	0.17	4400	4400
"austin food truck"	0.17	4400	4400
"catering trucks los angeles"	0.39	4400	4400
"portland food truck"	0.16	4400	4400
"food truck portland"	0.16	4400	4400
"food truck california"	0.44	4400	4400
"seattle food trucks"	0.16	4400	4400
"food trucks seattle"	0.16	4400	4400
"food trucks in seattle"	0.16	4400	4400
"austin food trucks"	0.16	4400	4400
"food trucks in austin"	0.16	4400	4400
"food trucks austin"	0.16	4400	4400
"food trucks houston"	0.24	4400	4400
"houston food trucks"	0.24	4400	4400
"food trucks in houston"	0.24	4400	4400
"food trucks in orlando"	0.29	4400	4400
"food trucks dallas"	0.16	4400	4400
"dallas food trucks"	0.16	4400	4400
"food trucks in dallas"	0.16	4400	4400
"food truck tracker"	0.29	4400	4400
"la food truck tracker"	0.29	4400	4400
"food vans"	0.5	14800	3600
"sandwich catering"	0.63	8100	3600
"coffee trucks"	0.54	5400	3600
"food trailers for sale"	0.92	5400	3600
"food truck company"	0.68	4400	3600
"great food truck race season 2"	0.02	4400	3600
"used catering truck"	0.94	4400	3600
"hot dog truck"	0.67	4400	3600
"used catering trucks"	0.94	4400	3600
"food truck buy"	0.89	4400	3600
"where to buy a food truck"	0.89	4400	3600
"buy food truck"	0.89	4400	3600
"how to buy a food truck"	0.89	4400	3600
"buy a food truck"	0.89	4400	3600
"rent food truck"	0.87	4400	3600
"food truck for rent"	0.87	4400	3600
"rent a food truck"	0.87	4400	3600
"lunch trucks los angeles"	0.33	4400	3600
"vending trucks for sale"	0.99	3600	3600
"food truck companies"	0.75	3600	3600
"cost of a food truck"	0.56	3600	3600
"food truck cost"	0.56	3600	3600
"cost of food truck"	0.56	3600	3600
"california food trucks"	0.47	3600	3600
"food trucks in california"	0.47	3600	3600
"food trucks california"	0.47	3600	3600
"food truck florida"	0.47	3600	3600
"food truck rally"	0.04	3600	3600
"food truck st. louis"	0.08	3600	3600
"food truck sf"	0.06	3600	3600
"mobile food cart"	0.93	4400	2900
"hot dog vendors"	0.46	4400	2900
"buy food trucks"	0.9	3600	2900
"where to buy food trucks"	0.9	3600	2900
"food truck location"	0.16	3600	2900
"list of la food trucks"	0.12	3600	2900
"la food trucks list"	0.12	3600	2900
"food truck permit"	0.32	2900	2900
"baltimore food truck"	0.12	2900	2900
"florida food trucks"	0.49	2900	2900
"food trucks florida"	0.49	2900	2900
"food trucks in florida"	0.49	2900	2900
"food truck nashville"	0.11	2900	2900
"bbq food truck"	0.26	2900	2900
"food truck twitter"	0	2900	2900
"food truck minneapolis"	0.14	2900	2900
"food truck phoenix"	0.2	2900	2900
"food truck denver"	0.15	2900	2900
"denver food truck"	0.15	2900	2900
"catering van"	0.57	27100	2400
"catering trailer for sale"	0.96	9900	2400
"catering trailers for sale"	0.96	8100	2400
"mobile food trailer"	0.7	4400	2400
"food wagon"	0.48	3600	2400
"mobile catering trucks"	0.84	2900	2400
"food truck network"	0.11	2900	2400
"food network truck"	0.11	2900	2400
"food network food truck"	0.11	2900	2400
"food truck food network"	0.11	2900	2400
"street food truck"	0.11	2900	2400
"food truck regulations"	0.18	2900	2400
"food truck rental"	0.87	2900	2400
"food truck license"	0.28	2900	2400
"purchase food truck"	1	2900	2400
"food truck purchase"	1	2900	2400
"purchase a food truck"	1	2900	2400
"food truck locations"	0.18	2900	2400
"la food truck locations"	0.18	2900	2400
"how much for a food truck"	0.44	2400	2400
"how much is a food truck"	0.44	2400	2400
"nashville food trucks"	0.12	2400	2400
"food trucks nashville"	0.12	2400	2400
"concession trucks for sale"	0.99	2400	2400
"start food truck business"	0.67	2400	2400
"how to start food truck business"	0.67	2400	2400
"start a food truck business"	0.67	2400	2400
"food truck laws"	0.19	2400	2400
"food trucks minneapolis"	0.16	2400	2400
"minneapolis food trucks"	0.16	2400	2400
"sf food trucks"	0.06	2400	2400
"food trucks sf"	0.06	2400	2400
"food trucks for rent"	0.87	2400	2400
"taco food truck"	0.2	2400	2400
"food truck tampa"	0.26	2400	2400
"food truck oc"	0.07	2400	2400
"oc food truck"	0.07	2400	2400
"the oc food truck"	0.07	2400	2400
"food truck indianapolis"	0.12	2400	2400
"food trucks in denver"	0.15	2400	2400
"denver food trucks"	0.15	2400	2400
"food trucks denver"	0.15	2400	2400
"la food truck finder"	0.18	2400	2400
"food truck finder"	0.18	2400	2400
"st louis food trucks"	0.11	2400	2400
"food trucks in st. louis"	0.11	2400	2400
"food trucks st. louis"	0.11	2400	2400
"mobile kitchen for sale"	0.98	2900	1900
"food truck costs"	0.63	2400	1900
"food vending trucks"	0.95	2400	1900
"vending food trucks"	0.95	2400	1900
"buying a food truck"	0.97	2400	1900
"how to make a food truck"	0.37	2400	1900
"mobile food trucks for sale"	0.94	2400	1900
"used lunch trucks"	0.93	2400	1900
"food truck las vegas"	0.33	2400	1900
"las vegas food truck"	0.33	2400	1900
"food truck price"	0.69	2400	1900
"mobile food truck sale"	0.94	2400	1900
"food mobile truck for sale"	0.94	2400	1900
"mobile food truck for sale"	0.94	2400	1900
"food truck locator"	0.19	2400	1900
"new york city food trucks"	0.18	2400	1900
"food trucks new york city"	0.18	2400	1900
"food truck durham"	0.07	1900	1900
"food vendor trucks"	0.98	1900	1900
"food truck permits"	0.37	1900	1900
"bbq food trucks"	0.3	1900	1900
"dc food truck tracker"	0.19	1900	1900
"food truck tracker dc"	0.19	1900	1900
"food truck prices"	0.69	1900	1900
"food trucks in oc"	0.06	1900	1900
"food trucks oc"	0.06	1900	1900
"oc food trucks"	0.06	1900	1900
"used catering trucks for sale"	0.95	1900	1900
"food truck sacramento"	0.25	1900	1900
"food trucks map"	0.06	1900	1900
"la food trucks map"	0.06	1900	1900
"food trucks baltimore"	0.13	1900	1900
"baltimore food trucks"	0.13	1900	1900
"food truck event"	0.25	1900	1900
"la food trucks twitter"	0.01	1900	1900
"food trucks twitter"	0.01	1900	1900
"twitter food trucks"	0.01	1900	1900
"clover food truck"	0.01	1900	1900
"phoenix food trucks"	0.23	1900	1900
"food trucks in phoenix"	0.23	1900	1900
"food trucks phoenix"	0.23	1900	1900
"washington dc food truck"	0.14	1900	1900
"food truck washington dc"	0.14	1900	1900
"catering vans"	0.75	18100	1600
"mobile food trailers"	0.69	2900	1600
"mobile food carts"	1	2900	1600
"mobile kitchens for sale"	0.97	2400	1600
"food vending truck"	0.87	1900	1600
"used catering truck for sale"	0.95	1900	1600
"food truck rentals"	0.89	1900	1600
"business plan food truck"	0.74	1900	1600
"food truck business plan"	0.74	1900	1600
"business plan for food truck"	0.74	1900	1600
"street food trucks"	0.16	1900	1600
"las vegas food trucks"	0.33	1900	1600
"food trucks in las vegas"	0.33	1900	1600
"food trucks las vegas"	0.33	1900	1600
"how much are food trucks"	0.48	1900	1600
"hot dog trucks for sale"	1	1900	1600
"food vendor truck"	0.84	1900	1600
"food service truck"	0.72	1900	1600
"build a food truck"	0.39	1900	1600
"how to build a food truck"	0.39	1900	1600
"build food truck"	0.39	1900	1600
"food truck sales"	0.81	1900	1600
"food vendor carts"	0.94	1900	1600
"starting a food truck business"	0.68	1900	1600
"food truck show"	0.15	1900	1600
"lease food truck"	0.91	1900	1600
"food truck for lease"	0.91	1900	1600
"lease a food truck"	0.91	1900	1600
"food truck lease"	0.91	1900	1600
"food truck ucla"	0.02	1600	1600
"ucla food truck"	0.02	1600	1600
"food truck san jose"	0.18	1600	1600
"san jose food truck"	0.18	1600	1600
"food truck bazaar"	0.08	1600	1600
"ucla food trucks"	0.02	1600	1600
"food trucks ucla"	0.02	1600	1600
"korean food truck"	0.07	1600	1600
"food truck events"	0.36	1600	1600
"good food truck"	0.15	1600	1600
"santa monica food truck"	0.05	1600	1600
"food truck santa monica"	0.05	1600	1600
"food trucks durham"	0.1	1600	1600
"durham food trucks"	0.1	1600	1600
"food trucks indianapolis"	0.14	1600	1600
"washington dc food trucks"	0.13	1600	1600
"food trucks in washington dc"	0.13	1600	1600
"santa monica food trucks"	0.05	1600	1600
"food trucks in santa monica"	0.05	1600	1600
"food trucks santa monica"	0.05	1600	1600
"food vending carts"	0.98	1900	1300
"watch the great food truck race"	0.05	1900	1300
"how to run a food truck"	0.26	1600	1300
"ice cream truck business"	0.76	1600	1300
"taco truck for sale"	0.94	1600	1300
"nyc best food trucks"	0.06	1600	1300
"best food trucks in nyc"	0.06	1600	1300
"best nyc food trucks"	0.06	1600	1300
"best food trucks nyc"	0.06	1600	1300
"food truck leasing"	0.87	1300	1300
"leasing a food truck"	0.87	1300	1300
"food trucks tampa"	0.35	1300	1300
"santa anita food truck"	0.02	1300	1300
"food truck santa anita"	0.02	1300	1300
"food truck fair"	0.11	1300	1300
"taco trucks for sale"	0.95	1300	1300
"used lunch trucks for sale"	0.94	1300	1300
"vegan food truck"	0.14	1300	1300
"san jose food trucks"	0.18	1300	1300
"food trucks san jose"	0.18	1300	1300
"find food trucks"	0.43	1300	1300
"find la food trucks"	0.43	1300	1300
"food trucks sacramento"	0.3	1300	1300
"sacramento food trucks"	0.3	1300	1300
"food truck wars"	0.05	1300	1300
"food truck bay area"	0.3	1300	1300
"food truck association"	0.07	1300	1300
"food truck cleveland"	0.16	1300	1300
"cleveland food truck"	0.16	1300	1300
"food truck nj"	0.48	1300	1300
"food truck san antonio"	0.29	1300	1300
"cleveland food trucks"	0.21	1300	1300
"food trucks cleveland"	0.21	1300	1300
"food trucks in cleveland"	0.21	1300	1300
"used catering trailers"	0.92	2400	1000
"food truck design"	0.48	1600	1000
"how to open a food truck"	0.37	1300	1000
"mobile food service"	0.61	1300	1000
"food truck manufacturers"	0.8	1300	1000
"custom food truck"	0.76	1300	1000
"hot food truck"	0.33	1300	1000
"custom food trucks"	0.77	1300	1000
"grilled cheese food truck"	0.03	1300	1000
"mexican food truck"	0.16	1300	1000
"food trucks food network"	0.19	1300	1000
"food network food trucks"	0.19	1300	1000
"new food trucks for sale"	0.92	1300	1000
"food truck central"	0.09	1300	1000
"pizza food truck"	0.24	1300	1000
"new food truck for sale"	0.94	1000	1000
"indian food truck"	0.12	1000	1000
"used vending trucks"	0.96	1000	1000
"food trucks bay area"	0.3	1000	1000
"bay area food trucks"	0.3	1000	1000
"green food truck"	0.08	1000	1000
"columbus food trucks"	0.31	1000	1000
"food trucks for lease"	0.91	1000	1000
"food truck irvine"	0.04	1000	1000
"irvine food truck"	0.04	1000	1000
"food truck kansas city"	0.26	1000	1000
"food trucks irvine"	0.04	1000	1000
"irvine food trucks"	0.04	1000	1000
"food trucks in irvine"	0.04	1000	1000
"food truck manufacturer"	0.79	1300	880
"food vendor trailers"	1	1000	880
"truck stop food"	0.08	1000	880
"used concession trucks"	0.93	1000	880
"food truck plans"	0.47	1000	880
"kogi food truck"	0.02	1000	880
"bacon food truck"	0.06	1000	880
"thai food truck"	0.08	1000	880
"san antonio food trucks"	0.32	1000	880
"food trucks san antonio"	0.32	1000	880
"food truck festival santa anita"	0.01	880	880
"santa anita food truck festival"	0.01	880	880
"food service trucks"	0.87	880	880
"food concession truck"	0.91	880	880
"concession food truck"	0.91	880	880
"food trucks for sale florida"	0.91	880	880
"food trucks for sale in florida"	0.91	880	880
"miami food trucks schedule"	0.2	880	880
"food trucks miami schedule"	0.2	880	880
"food truck wedding"	0.32	880	880
"food network truck race"	0.02	880	880
"food network food truck race"	0.02	880	880
"food truck race food network"	0.02	880	880
"catering trucks for lease"	0.92	880	880
"concession food trucks"	0.98	880	880
"food concession trucks"	0.98	880	880
"dc food truck fiesta"	0.02	880	880
"food truck fiesta dc"	0.02	880	880
"white rabbit food truck"	0.01	880	880
"great food truck race episodes"	0.1	880	880
"the great food truck race episodes"	0.1	880	880
"food truck for sale florida"	0.9	880	880
"food truck for sale in florida"	0.9	880	880
"food truck festival boston"	0.13	880	880
"boston food truck festival"	0.13	880	880
"nj food trucks"	0.55	880	880
"food trucks nj"	0.55	880	880
"best los angeles food trucks"	0.14	880	880
"best food trucks in los angeles"	0.14	880	880
"best food trucks los angeles"	0.14	880	880
"food truck festivals"	0.15	880	880
"portland oregon food trucks"	0.3	880	880
"food trucks portland oregon"	0.3	880	880
"food truck commissary"	0.19	880	880
"food trucks fort worth"	0.27	880	880
"food trucks raleigh"	0.25	880	880
"raleigh food trucks"	0.25	880	880
"mobile coffee truck"	0.77	1000	720
"food truck app"	0.24	880	720
"food truck designs"	0.43	880	720
"food truck race winner"	0.01	880	720
"food truck war"	0.06	880	720
"food truck businesses"	0.69	880	720
"food truck ideas"	0.37	880	720
"nom nom food truck"	0.02	880	720
"food truck nom nom"	0.02	880	720
"how much do food trucks cost"	0.51	880	720
"mexican food trucks"	0.2	880	720
"devilicious food truck"	0.04	880	720
"indian food trucks"	0.15	880	720
"food truck equipment"	0.87	880	720
"food truck festival 2011"	0.03	720	720
"building a food truck"	0.42	720	720
"midtown food trucks"	0.06	720	720
"fort mason food truck"	0.04	720	720
"food truck new orleans"	0.23	720	720
"cupcake food truck"	0.15	720	720
"food trucks kansas city"	0.29	720	720
"kansas city food trucks"	0.29	720	720
"food trucks for sale in california"	0.93	720	720
"food trucks for sale california"	0.93	720	720
"long beach food truck"	0.14	720	720
"food trucks baton rouge"	0.12	720	720
"baton rouge food trucks"	0.12	720	720
"mobile kitchen truck"	0.95	880	590
"food truck names"	0.21	880	590
"food trucks manufacturers"	0.82	880	590
"filipino food truck"	0.11	720	590
"food truck pictures"	0.37	720	590
"ice cream food truck"	0.3	720	590
"nomnom food truck"	0.01	720	590
"food vending trucks for sale"	0.97	720	590
"the great food truck race winner"	0	720	590
"great food truck race winner"	0	720	590
"food truck industry"	0.34	720	590
"renting a food truck"	0.81	720	590
"hot food trucks"	0.48	720	590
"seabirds food truck"	0.01	720	590
"los angeles food truck festival"	0.22	720	590
"food truck festival los angeles"	0.22	720	590
"food truck for sale in california"	0.91	720	590
"food truck for sale california"	0.91	720	590
"westside food truck central"	0.06	720	590
"food trucks in michigan"	0.5	590	590
"los angeles food truck map"	0.13	590	590
"food truck map los angeles"	0.13	590	590
"cool food trucks"	0.12	590	590
"food truck trailer"	0.56	590	590
"food truck insurance"	0.98	590	590
"food truck challenge"	0.06	590	590
"food truck builders"	0.73	590	590
"food trucks new orleans"	0.26	590	590
"new orleans food trucks"	0.26	590	590
"food vendor trucks for sale"	0.99	590	590
"south florida food trucks"	0.34	590	590
"food trucks in burbank"	0.11	590	590
"food trucks burbank"	0.11	590	590
"food trucks columbus ohio"	0.45	590	590
"food truck pasadena"	0.14	590	590
"food truck festival nyc"	0.17	590	590
"food trucks austin texas"	0.27	590	590
"food trucks austin tx"	0.28	590	590
"austin tx food trucks"	0.28	590	590
"gypsy queen food truck"	0.01	590	590
"food trucks long beach"	0.17	590	590
"long beach food trucks"	0.17	590	590
"food truck cincinnati"	0.26	590	590
"food vans for sale"	1	4400	480
"food truck recipes"	0.17	1300	480
"food truck usa"	0.34	720	480
"food truck book"	0.38	720	480
"food truck images"	0.38	720	480
"food delivery truck"	0.78	720	480
"food truck start up"	0.35	590	480
"food concession trucks for sale"	0.99	590	480
"food truck blog"	0.05	590	480
"food vendor truck for sale"	0.99	590	480
"food truck nation"	0.11	590	480
"breakfast food truck"	0.2	590	480
"best food truck nyc"	0.06	590	480
"food trucks hawaii"	0.29	590	480
"hawaii food trucks"	0.29	590	480
"food truck revenue"	0.07	590	480
"crepe food truck"	0.11	590	480
"food trucks for sale texas"	0.93	590	480
"food trucks for sale in texas"	0.93	590	480
"off the grid food truck"	0.05	590	480
"food truck template"	0.57	480	480
"food truck menus"	0.29	480	480
"food trucks in pasadena"	0.15	480	480
"pasadena food trucks"	0.15	480	480
"food trucks pasadena"	0.15	480	480
"lime food truck"	0.07	480	480
"food truck profit"	0.11	480	480
"emeryville food trucks"	0.04	480	480
"milwaukee food trucks"	0.36	480	480
"food trucks milwaukee"	0.36	480	480
"la food trucks tracker"	0.22	480	480
"food trucks oakland"	0.18	480	480
"food truck little rock"	0.24	480	480
"cincinnati food trucks"	0.28	480	480
"food trucks cincinnati"	0.28	480	480
"penn food trucks"	0.08	480	480
"permits for food trucks"	0.41	480	480
"yum yum food truck"	0.04	480	480
"food truck wraps"	0.79	480	480
"food truck franchise"	0.94	1000	390
"fast food truck"	0.28	720	390
"fast food trucks"	0.41	590	390
"mobile catering trucks for sale"	0.97	590	390
"food delivery trucks"	0.81	480	390
"chinese food truck"	0.16	480	390
"pictures of food trucks"	0.4	480	390
"sushi food truck"	0.13	480	390
"used concession trucks for sale"	0.87	480	390
"hot dog food truck"	0.3	480	390
"komodo food truck"	0.06	480	390
"famous food trucks"	0.19	480	390
"desi food truck"	0.04	480	390
"food trucks for sale ny"	0.92	480	390
"food truck builder"	0.63	480	390
"food truck contest"	0.16	480	390
"purchasing a food truck"	0.91	480	390
"vietnamese food truck"	0.11	480	390
"first friday food trucks"	0.01	480	390
"penn food truck"	0.04	390	390
"food trucks for sale los angeles"	0.98	390	390
"food truck for sale ny"	0.94	390	390
"food trucks detroit"	0.38	390	390
"southern california food trucks"	0.32	390	390
"ragin cajun food truck"	0.07	390	390
"food truck for sale los angeles"	0.98	390	390
"koja food truck"	0.06	390	390
"food network great food truck race"	0.01	390	390
"great food truck race food network"	0.01	390	390
"best food trucks in austin"	0.15	390	390
"best austin food trucks"	0.15	390	390
"bacon mania food truck"	0.02	390	390
"fork in the road food truck"	0.03	390	390
"cuban food truck"	0.12	390	390
"coolhaus food truck"	0.02	390	390
"upenn food trucks"	0.05	390	390
"catering vans for sale"	0.94	6600	320
"mobile food truck business"	0.64	480	320
"skillet food truck"	0.06	390	320
"food truck trend"	0.12	390	320
"food truck trends"	0.16	390	320
"ebay food truck"	0.69	390	320
"commercial food truck"	0.79	390	320
"food truck parts"	0.7	390	320
"small food truck"	0.78	390	320
"cheap food trucks"	0.85	390	320
"next food truck race"	0.01	390	320
"italian food truck"	0.18	390	320
"arizona food trucks"	0.58	390	320
"food truck news"	0.2	390	320
"food trucks santa barbara"	0.26	320	320
"food trucks for sale houston"	0.97	320	320
"history of food trucks"	0.21	320	320
"food trucks san fernando valley"	0.11	320	320
"san fernando valley food trucks"	0.11	320	320
"food trucks in san fernando valley"	0.11	320	320
"santa anita food trucks"	0.02	320	320
"food trucks for sale nc"	0.89	320	320
"food trucks for sale miami"	0.97	320	320
"food trucks for sale in miami"	0.97	320	320
"used mobile food trucks"	0.95	320	320
"food trucks orange county ca"	0.48	320	320
"san diego food truck festival"	0.17	320	320
"food trucks honolulu"	0.2	320	320
"food truck permit nyc"	0.3	320	320
"clover food truck menu"	0.02	320	320
"dc food trucks tracker"	0.15	320	320
"food trucks charlotte nc"	0.48	320	320
"food trucks for sale nj"	0.93	320	320
"food trucks for sale in nj"	0.93	320	320
"randy food truck"	0.16	320	320
"food truck for sale nj"	0.92	320	320
"food truck business plan sample"	0.66	390	260
"food truck for sale miami"	0.97	320	260
"running a food truck"	0.28	320	260
"food truck income"	0.12	320	260
"food truck generator"	0.58	320	260
"healthy food trucks"	0.38	320	260
"food truck start up cost"	0.3	320	260
"brooklyn food trucks"	0.26	320	260
"slow food truck"	0.07	320	260
"buy used food truck"	0.98	260	260
"food trucks pittsburgh"	0.45	260	260
"pittsburgh food trucks"	0.45	260	260
"food truck marketing"	0.66	260	260
"foodtruck fiesta"	0.01	260	260
"food trucks dallas tx"	0.49	260	260
"gourmet food trucks in los angeles"	0.48	260	260
"gourmet food trucks los angeles"	0.48	260	260
"los angeles gourmet food trucks"	0.48	260	260
"7th and fig food trucks"	0.01	260	260
"owning a food truck"	0.28	260	260
"food trucks los angeles map"	0.09	260	260
"los angeles food trucks map"	0.09	260	260
"leasing food trucks"	0.91	260	260
"food truck statistics"	0.15	260	260
"organic food truck"	0.34	260	260
"food trucks for sale in ohio"	0.94	260	260
"food service trucks for sale"	1	260	260
"food truck paradise"	0.05	260	260
"parked food truck festival"	0.02	260	260
"food trucks in miami fl"	0.55	260	260
"food trucks miami fl"	0.55	260	260
"food trucks abbot kinney"	0.04	260	260
"abbot kinney food trucks"	0.04	260	260
"taim food truck"	0.01	260	260
